status,total_num_contacts_interacted_with,num_#_sms,total_interactions,ave_age,duration(s),num_contacts,ratio_of_bad_words_used,num_*_sms,ave_message_body_length,max_age,ave_daily_sms,user_id,calls,num_#_calls,num_bad_words_used,num_*_calls,ave_duration(s),ave_daily_duration(s),num_derogatory_sms,ave_daily_sms_count,ave_daily_contacts_interacted_with,ave_daily_calls
repaid,105,0,347,,4039,215,0.0,0,50.266666666666666,,2.272727272727273,23,272,0,0,0,14.849264705882353,122.39393939393939,0,3.8947368421052633,6.0,8.242424242424242
repaid,59,0,539,,1086,451,0.0009943652635067948,0,35.63102725366876,,20.73913043478261,28,62,0,3,0,17.516129032258064,217.2,3,21.636363636363637,4.0,12.4
defaulted,185,0,1751,,9813,633,7.174630506528914e-05,0,58.840796019900495,,16.17241379310345,29,344,0,1,0,28.526162790697676,258.2368421052632,1,19.232876712328768,5.9655172413793105,9.052631578947368
defaulted,233,0,1608,,8819,461,0.0010031347962382445,0,46.33224755700326,,20.931818181818183,400,687,0,8,2,12.836972343522563,464.1578947368421,8,21.3953488372093,11.75,36.1578947368421
defaulted,124,0,5407,,43836,330,0.0012215916320973202,0,40.780562975138686,,36.59398496240601,379,540,0,48,1,81.17777777777778,377.8965517241379,48,47.705882352941174,4.097744360902255,4.655172413793103
defaulted,81,0,783,,13246,289,0.0006587615283267457,0,36.78698224852071,,21.125,378,276,0,2,1,47.992753623188406,551.9166666666666,2,29.764705882352942,8.625,11.5
defaulted,197,0,4149,,18937,380,0.000304202338012255,0,41.02959770114943,,79.11363636363636,371,668,0,7,0,28.34880239520958,440.3953488372093,7,79.0909090909091,16.65909090909091,15.534883720930232
defaulted,143,0,736,,12938,503,0.0,0,110.8,,3.909090909090909,370,521,0,0,0,24.833013435700575,431.26666666666665,0,4.553191489361702,5.8,17.366666666666667
defaulted,229,0,13347,,18812,232,0.0005825854196189577,0,59.386565766890314,,53.18672199170125,373,529,0,74,4,35.561436672967865,408.95652173913044,73,53.40416666666667,7.767634854771784,11.5
defaulted,154,0,1157,,43911,390,0.0005662514156285391,0,95.37962962962963,,1.6875,372,1049,0,1,3,41.85986653956149,697.0,1,5.631578947368421,6.6875,16.650793650793652
defaulted,81,0,801,,3932,337,0.0013057929724596391,0,109.96649916247907,,42.642857142857146,375,204,1,11,0,19.274509803921568,280.85714285714283,11,42.57142857142857,11.285714285714286,14.571428571428571
